일본판 화수|한국판 화수|제목|에피소드 분류 키워드|에피소드 컬러 코드
483|8-31|사라진 경찰 아저씨|일반|X
484|8-32|검은 사진의 행방 (전편)|검은조직|X
485|8-33|검은 사진의 행방 (후편)|검은조직|X
486|8-34|우에서 좌로 마네키네코|일반|X
487|8-35, 8-36|본청의 형사 사랑 이야기 8 왼손 약지의 반지|스페셜|X
488|8-51, 8-52|텔레비전 방송국의 악마|스페셜|X
489|9-01, 9-02|법정의 대결 Ⅲ 목격자는 검찰관|스페셜|X
490|9-03, 9-04|핫토리 헤이지vs쿠도 신이치 스키장의 추리대결|스페셜|X
491|8-37|적과 흑의 크래쉬 - 발단|검은조직|X
492|8-38|적과 흑의 크래쉬 - 혈연|검은조직|X
493|8-39|적과 흑의 크래쉬 - 절규|검은조직|X
494|8-40|적과 흑의 크래쉬 - 명토|검은조직|X
495|8-41|적과 흑의 크래쉬 - 혼수|검은조직|X
496|8-42|적과 흑의 크래쉬 - 침입|검은조직|X
497|8-43|적과 흑의 크래쉬 - 각성|검은조직|X
498|8-44|적과 흑의 크래쉬 - 교란|검은조직|X
499|8-45|적과 흑의 크래쉬 - 위장|검은조직|X
500|8-46|적과 흑의 크래쉬 - 유언|검은조직|X
501|8-47|적과 흑의 크래쉬 - 혐의|검은조직|X
502|8-48|적과 흑의 크래쉬 - 결백|검은조직|X
503|8-49|적과 흑의 크래쉬 - 결사|검은조직|X
504|8-50|적과 흑의 크래쉬 - 순직|검은조직|X
505|9-05|변호사 키사키 에리의 증언 (전편)|일반|X
506|9-06|변호사 키사키 에리의 증언 (후편)|일반|X
507|9-07|노래방의 사각 (전편)|일반|X
508|9-08|노래방의 사각 (후편)|검은조직|X
509|9-09|적 백 황색과 탐정단|검은조직|X
510|9-10|코난vsW암호 미스터리|검은조직|X
511|9-11|추리 대결! 신이치vs오키야 스바루|아카이|X
512|9-12|깨어진 호로스코프|일반|X
513|9-13|살의는 커피의 향기 (전편)|일반|X
514|9-14|살의는 커피의 향기 (후편)|일반|X
515|9-15, 9-16|괴도 키드의 순간이동 마술|괴도키드|X
516|애X2-56|풍림화산 미궁의 갑옷무사|스페셜|X
517|애X2-58|풍림화산 그림자와 번개의 결착|일반|X
518|-|메이지 유신 미스터리 투어 (탐색편)|일반|X
519|-|메이지 유신 미스터리 투어 (해독편)|일반|X
520|9-24|와인레드의 고발|일반|X
521|9-17, 9-18|살인범 쿠도 신이치|스페셜|X
522|9-19, 9-20|신이치의 정체에 란의 눈물|스페셜|X
523|9-21|정말로 묻고 싶은 것|일반|X
524|9-22|증오의 푸른 불꽃 (전편)|일반|X
525|9-23|증오의 푸른 불꽃 (후편)|일반|X
526|9-25|진범으로부터의 소포|일반|X
527|9-26|가면극에 숨긴 악의|일반|X
528|9-27|부드러움은 능히 수수께끼를 제압한다 (전편)|일반|X
529|9-28|부드러움은 능히 수수께끼를 제압한다 (후편)|일반|X
530|9-29|도시 전설의 정체 (전편)|일반|X
531|9-30|도시 전설의 정체 (후편)|일반|X
532|9-31|첫사랑의 상처 자국|일반|X
533|9-32|과거를 부르는 상처 자국|일반|X
534|9-33|새로운 상처 자국과 휘파람을 부는 남자|일반|X
535|9-34|오래된 상처 자국과 형사의 혼|일반|X
536|9-38|사라진 명화의 비밀|일반|X
537|9-35|괴도 키드vs최강 금고 (전편)|괴도키드|X
538|9-36|괴도 키드vs최강 금고 (후편)|괴도키드|X
539|9-37|어리석은 자에게 주는 유산|일반|X
540|9-39|모리 코고로 탐정폐업의 날 (전편)|일반|X
541|9-40|모리 코고로 탐정폐업의 날 (후편)|일반|X
542|애X2-59|물고기가 사라지는 일각암 (전편)|일반|X
543|애X2-60|물고기가 사라지는 일각암 (후편)|일반|X
544|10-01|불협화음을 연주하는 손|일반|X
545|9-41|안개 속에 흐느끼는 마녀 (전편)|일반|X
546|9-42|안개 속에 흐느끼는 마녀 (후편)|일반|X
547|9-43|범인과의 이틀간 (하루째)|일반|X
548|9-44|범인과의 이틀간 (이틀째)|일반|X
549|10-02|회전초밥 미스터리 (전편)|일반|X
550|10-03|회전초밥 미스터리 (후편)|일반|X
551|10-04|범인은 겐타의 아버지 (전편)|일반|X
552|10-05|범인은 겐타의 아버지 (후편)|일반|X
553|10-06|The 취조실|일반|X
554|10-07|황새 미스터리 투어 (란 수색편)|일반|X
555|10-08|황새 미스터리 투어 (하루나 추적편)|일반|X
556|10-09|공포의 교차점|일반|X
557|10-10|위험한 두 명의 일행|일반|X
558|10-11|사망의 저택 붉은 벽 (삼고의 예)|일반|X
559|10-12|사망의 저택 붉은 벽 (손 안의 물건)|일반|X
560|10-13|사망의 저택 붉은 벽 (죽은 공명)|일반|X
561|10-14|사망의 저택 붉은 벽 (공성계)|일반|X
562|10-15|무지개색의 유괴|일반|X
563|10-16|탐정단vs강도단 (소연)|검은조직|X
564|10-17|탐정단vs강도단 (침묵)|검은조직|X
565|10-18|보지 않은 목격자|일반|X
566|10-19|파트너는 산타씨|일반|X
567|10-20|노천탕에 내리는 살의|일반|X
568|10-21|시라토리 경부 벚꽃의 추억 (전편)|일반|X
569|10-22|시라토리 경부 벚꽃의 추억 (후편)|일반|X
570|10-23|입증 확률 제로의 범죄|일반|X
571|10-24|귀신 창고에서 보물 배틀 (전편)|일반|X
572|10-25|귀신 창고에서 보물 배틀 (후편)|일반|X
573|애X2-61|부끄러운 부적의 행방 (전편)|일반|X
574|애X2-62|부끄러운 부적의 행방 (후편)|일반|X
575|10-26|검은 드레스의 알리바이 (전편)|일반|X
576|10-27|검은 드레스의 알리바이 (후편)|일반|X
577|애X2-63|반딧불이 밝힌 진실|일반|X
578|애X2-64|위기를 부르는 붉은 전조|검은조직|X
579|애X2-65|검은 13의 암시|검은조직|X
580|애X2-66|다가오는 검은 각한|아카이|X
581|애X2-67|붉게 흔들리는 조준|아카이|X
582|애X2-68|좀비가 죽은 밤|일반|X
583|10-29|코바야시 선생님의 사랑|일반|X
584|10-30|시라토리 경부의 실연|일반|X
585|10-31|시간을 초월하는 벚꽃의 사랑|일반|X
586|10-32|어둠에 사라진 기린의 뿔|괴도키드|X
587|10-33|키드vs사신탐정단|괴도키드|X
588|10-34|옥상 농원의 함정|일반|X
589|10-35|최악의 생일 (전편)|일반|X
590|10-36|최악의 생일 (후편)|일반|X
591|10-37|수족관이 있는 집|일반|X
592|애X2-69|원숭이와 복갈퀴의 토리모노쵸 (전편)|일반|X
593|애X2-70|원숭이와 복갈퀴의 토리모노쵸 (후편)|일반|X
594|애X2-71|히로시마 미야지마 7대 불가사의 투어 (미야지마편)|일반|X
595|애X2-72|히로시마 미야지마 7대 불가사의 투어 (히로시마편)|일반|X
596|10-38|전락의 알리바이|일반|X
597|애X2-73|수증기 밀실의 시나리오 (전편)|일반|X
598|애X2-74|수증기 밀실의 시나리오 (후편)|일반|X
599|10-39|정의의 용사|일반|X
600|애X2-75|캇파가 꾼 꿈 (전편)|일반|X
601|애X2-76|캇파가 꾼 꿈 (후편)|일반|X
602|10-40|테니스 코트에 숨어 있는 악마|일반|X
603|애X2-77|강령회 W 밀실사건 (제1의 밀실)|일반|X
604|애X2-78|강령회 W 밀실사건 (제2의 밀실)|일반|X
605|애X2-79|강령회 W 밀실사건 (밀실 개방)|일반|X
606|10-41|법정의 대결 IV 재판원 코바야시 스미코 (전편)|일반|X
607|10-42|법정의 대결 IV 재판원 코바야시 스미코 (후편)|일반|X
608|10-43|배신의 화이트데이 (전편)|일반|X
609|10-44|배신의 화이트데이 (후편)|일반|X
610|애X3-01|피해자는 쿠도 신이치|일반|X
611|애X3-02|이누부시성 화염의 마견 (도깨비불의 장)|일반|X
612|애X3-03|이누부시성 화염의 마견 (발자국의 장)|일반|X
613|애X3-04|이누부시성 화염의 마견 (공주의 장)|일반|X
614|11-01|일기가 연주하는 비밀 (전편)|일반|X
615|11-02|일기가 연주하는 비밀 (후편)|일반|X
616|11-03|홈즈의 묵시록 (명탐정의 제자)|일반|X
617|11-04|홈즈의 묵시록 (Love is 0)|일반|X
618|11-05|홈즈의 묵시록 (사탄)|일반|X
619|11-06|홈즈의 묵시록 (Code break)|일반|X
620|11-07|홈즈의 묵시록 (잔디의 여왕)|일반|X
621|11-08|홈즈의 묵시록 (0 is Start)|일반|X
622|11-09|긴급사태 252 (전편)|일반|X
623|11-10|긴급사태 252 (후편)|아카이|X
624|11-11|첫사랑의 비디오 레터|일반|X
625|11-12|절규 수술실 (전편)|일반|X
626|11-13|절규 수술실 (후편)|일반|X
627|11-14|코난 키드의 료마 보물 공방전 (전편)|괴도키드|X
628|11-15|코난 키드의 료마 보물 공방전 (후편)|괴도키드|X
629|11-16|프로모션 비디오 촬영 사건 (전편)|일반|X
630|11-17|프로모션 비디오 촬영 사건 (후편)|일반|X
631|11-18|꽃시계는 알고 있었다|일반|X
632|11-19|시간 파수꾼의 칼날 (전편)|일반|X
633|11-20|시간 파수꾼의 칼날 (후편)|일반|X
634|애X3-05|범행 현장은 굉장히 좁은 가게|일반|X
635|11-21|다이어트에 조심|일반|X
636|11-22|세계에서 제일 받고 싶은 수업 사건 (전편)|일반|X
637|11-23|세계에서 제일 받고 싶은 수업 사건 (후편)|일반|X
638|11-24|단풍저택에서 수수께끼를 풀다 (전편)|일반|X
639|11-25|단풍저택에서 수수께끼를 풀다 (후편)|일반|X
640|애X3-06|8매의 스케치 기억의 여행 (오카야마편)|일반|X
641|애X3-07|8매의 스케치 기억의 여행 (쿠라시키편)|일반|X
642|애X3-08|카루타 잡기 위기일발 (전편)|일반|X
643|애X3-09|카루타 잡기 위기일발 (후편)|일반|X
644|11-26|죽을 만큼 맛있는 라멘 (전편)|일반|X
645|11-27|죽을 만큼 맛있는 라멘 (후편)|일반|X
646|11-28|유령 호텔의 추리대결 (전편)|아카이|X
647|11-29|유령 호텔의 추리대결 (후편)|아카이|X
648|애X3-10|탐정 사무소 농성 사건 (발발)|아카이|X
649|애X3-11|탐정 사무소 농성 사건 (저격)|아카이|X
650|애X3-12|탐정 사무소 농성 사건 (해방)|아카이|X
651|애X3-13,애X3-14|코난vs헤이지 동서 탐정 추리 승부|아카이|X
652|11-30|독과 환상의 디자인 (EYE)|아카이|X
653|11-31|독과 환상의 디자인 (S)|일반|X
654|11-32|독과 환상의 디자인 (Poison)|일반|X
655|11-33|독과 환상의 디자인 (Illusion)|일반|X
656|11-34|박사님의 동영상 사이트 (전편)|아카이|X
657|11-35|박사님의 동영상 사이트 (후편)|아카이|X
658|11-36|쇼콜라의 뜨거운 함정|일반|X
659|11-37|첫사랑의 공동수사 (전편)|일반|X
660|11-38|첫사랑의 공동수사 (후편)|일반|X
661|12-14|코고로 씨는 좋은 사람 (전편)|아카이|X
662|12-15|코고로 씨는 좋은 사람 (후편)|아카이|X
663|애X3-15|사슴벌레를 쫓아라|일반|X
664|애X3-16|명견 쿨의 공훈 2|일반|X
665|애X3-17|의혹의 이니셜 K|일반|X
666|12-01|비 오는 밤의 협박자|일반|X
667|12-02|웨딩 이브 (전편)|검은조직|X
668|12-03|웨딩 이브 (후편)|검은조직|X
669|12-04|어둠 탑의 비보 (전편)|일반|X
670|12-05|어둠 탑의 비보 (후편)|일반|X
671|애X3-18|탐정들의 야상곡 (사건)|아카이|X
672|애X3-19|탐정들의 야상곡 (유괴)|아카이|X
673|애X3-20|탐정들의 야상곡 (추리)|아카이|X
674|애X3-21|탐정들의 야상곡 (버번)|아카이|X
675|12-06|1밀리도 용납하지 않아 (전편)|일반|X
676|12-07|1밀리도 용납하지 않아 (후편)|일반|X
677|12-08|발자국이 없는 모래사장|일반|X
678|애X3-22|나가사키 미스터리 극장 (막말편)|일반|X
679|애X3-23|나가사키 미스터리 극장 (현대편)|일반|X
680|12-09|선인장 광상곡|일반|X
681|애X3-24|목숨을 건 연애중계 (중계 개시)|검은조직|X
682|애X3-25|목숨을 건 연애중계 (절체절명)|검은조직|X
683|애X3-26|목숨을 건 연애중계 (현장 돌입)|검은조직|X
684|애X3-27|거품과 김과 연기 (전편)|아카이|X
685|애X3-28|거품과 김과 연기 (후편)|아카이|X
686|12-10|시한폭탄을 실은 차|일반|X
687|12-11|누구도 풀 수 없는 얼음의 함정|일반|X
688|12-12|타카기 형사 3천만 줍다|일반|X
689|12-13|의뢰인으로부터의 메시지|일반|X
690|애X3-29|쿠도 유사쿠의 미해결 사건 (전편)|아카이|X
691|애X3-30|쿠도 유사쿠의 미해결 사건 (후편)|아카이|X
692|12-16|스미다 강 요자쿠라 루트 (전편)|일반|X
693|12-17|스미다 강 요자쿠라 루트 (후편)|일반|X
694|애X3-31|사라진 전통의 화과자|일반|X
695|12-19|포도밭에 장미꽃|일반|X
696|12-20|화단 털이의 음모|일반|X
697|12-21|여학원의 창문|일반|X
698|12-22|설마! UFO 추락사건|일반|X
699|12-23|하이바라의 비밀에 다가오는 그림자 (전편)|아카이|X
700|12-24|하이바라의 비밀에 다가오는 그림자 (후편)|아카이|X
701|12-25|칠흑의 특급 (발차)|아카이|X
702|12-26|칠흑의 특급 (터널)|아카이|X
703|12-27|칠흑의 특급 (교차)|아카이|X
704|12-28|칠흑의 특급 (종점)|괴도키드|X
705|12-29|밀실에 있는 코난|검은조직|X
706|12-30|수수께끼를 푸는 버번|검은조직|X
707|12-31|속아 넘어간 명탐정|일반|X
708|12-32|천천히 떨어진 남자|일반|X
709|12-18|미확인 충격 사건|일반|X
710|애X3-32|모두가 보고 있었다 (전편)|일반|X
711|애X3-33|모두가 보고 있었다 (후편)|일반|X
712|13-01|핫토리 헤이지와 흡혈귀 저택 (1)|일반|X
713|13-02|핫토리 헤이지와 흡혈귀 저택 (2)|일반|X
714|13-03|핫토리 헤이지와 흡혈귀 저택 (3)|일반|X
715|13-04|핫토리 헤이지와 흡혈귀 저택 (4)|일반|X
716|애X3-34|가면저택에 귀신이 춤추다 (전편)|일반|X
717|애X3-35|가면저택에 귀신이 춤추다 (후편)|일반|X
718|13-05|악마의 회로|일반|X
719|13-06|플래티넘 티켓 소동기|일반|X
720|애X3-36|불과 물의 미스터리 투어 (아소 편)|일반|X
721|애X3-37|불과 물의 미스터리 투어 (쿠마모토 편)|일반|X
722|13-07|달고 차가운 택배편 (전편)|아카이|X
723|13-08|달고 차가운 택배편 (후편)|아카이|X
724|13-09|괴도 키드와 붉은 얼굴의 인어 (전편)|괴도키드|X
725|13-10|괴도 키드와 붉은 얼굴의 인어 (후편)|괴도키드|X
726|애X3-38|행복 메일은 불행을 부른다|일반|X
727|13-11|과일이 가득 찬 보물상자 (전편)|아카이|X
728|13-12|과일이 가득 찬 보물상자 (후편)|아카이|X
729|13-13|다이아몬드와 회화와 대여배우|일반|X
730|13-14|지나치게 완벽한 피규어|일반|X
731|애X3-39|현장의 이웃은 전 남자친구 (전편)|아카이|X
732|애X3-40|현장의 이웃은 전 남자친구 (후편)|아카이|X
733|13-15|피로연과 두 개의 총성|일반|X
734|애X3-41, 애X3-42|조디의 추억과 꽃구경의 함정|검은조직|X
735|13-16|암호 첨부의 초대장|일반|X
736|13-17|모리 코고로 동상의 비밀|일반|X
737|13-18|의혹의 산책길|일반|X
738|애X3-43|코고로는 BAR에 있다 (전편)|검은조직|X
739|애X3-44|코고로는 BAR에 있다 (후편)|검은조직|X
740|13-19|란도 쓰러진 욕실 (전편)|아카이|X
741|13-20|란도 쓰러진 욕실 (후편)|아카이|X
742|애X3-45|J리거와의 약속|일반|X
743|13-21|우연은 두 번 겹친다|일반|X
744|13-22|용의자인가 쿄고쿠 마코토 (전편)|아카이|X
745|13-23|용의자인가 쿄고쿠 마코토 (후편)|아카이|X
746|14-01|괴도 키드 vs 쿄고쿠 마코토 (전편)|괴도키드|X
747|14-02|괴도 키드 vs 쿄고쿠 마코토 (후편)|괴도키드|X
748|14-03|본청의 형사 사랑 이야기 (고백)|일반|X
749|14-04|본청의 형사 사랑 이야기 (진상)|일반|X
750|14-05|바다에게 배신당한 사내|일반|X
751|14-06|삼색털 마네키네코 사건 (전편)|일반|X
752|14-07|삼색털 마네키네코 사건 (후편)|일반|X
753|14-08|쉐어하우스의 사각|일반|X
754|14-09|붉은 여자의 참극 (김)|아카이|X
755|14-10|붉은 여자의 참극 (악령)|아카이|X
756|14-11|붉은 여자의 참극 (복수)|아카이|X
757|14-12|자수한 코미디언 (전편)|일반|X
758|14-13|자수한 코미디언 (후편)|일반|X
759|14-14|의외의 결과의 연애소설 (전편)|아카이|X
760|14-15|의외의 결과의 연애소설 (후편)|아카이|X
761|애X4-01|카가 백만석 미스터리 투어 (카나자와 편)|일반|X
762|애X4-02|카가 백만석 미스터리 투어 (카가 온천 편)|일반|X
763|애X4-03|코난과 헤이지 사랑의 암호 (전편)|일반|X
764|애X4-04|코난과 헤이지 사랑의 암호 (후편)|일반|X
765|14-16|테무즈 강 연날리기 사건 (전편)|일반|X
766|14-17|테무즈 강 연날리기 사건 (후편)|일반|X
767|14-18|눈보라에 사라진 연인|일반|X
768|14-19|하이바라 아이 감금 사건|일반|X
769|애X4-05|성가신 응급환자|일반|X
770|14-20|서먹서먹한 다화회 (전편)|검은조직|X
771|14-21|서먹서먹한 다화회 (후편)|검은조직|X
772|14-22|쿠도 신이치 수족관 사건 (전편)|일반|X
773|14-23|쿠도 신이치 수족관 사건 (후편)|일반|X
774|14-24|사라진 뭉크의 절규|일반|X
775|애X4-06|조종당한 명탐정 (전편)|일반|X
776|애X4-07|조종당한 명탐정 (후편)|일반|X
777|14-25|소년 탐정단vs노인 탐정단|일반|X
778|14-26|천사가 사라진 신기루|일반|X
779|14-27|주홍색의 서장|검은조직|X
780|14-28|주홍색의 추구|검은조직|X
781|14-29|주홍색의 교착|아카이|X
782|14-30|주홍색의 귀환|아카이|X
783|14-31|주홍색의 진상|아카이|X
784|애X4-08|직녀 클럽에 잘 오셨습니다|일반|X
785|15-31|타이코 사랑하는 명인전 (전편)|아카이|X
786|15-32|타이코 사랑하는 명인전 (후편)|아카이|X
787|15-01|한 여름의 수영장에 가라앉는 수수께끼 (전편)|아카이|X
788|15-02|한 여름의 수영장에 가라앉는 수수께끼 (후편)|아카이|X
789|15-05|여왕님의 일기예보|일반|X
790|15-06|베이카퐁 출혈 대서비스|일반|X
791|15-07|타카기 형사 수갑 찬 채 도주|일반|X
792|애X4-09|세 명의 제1 목격자 (전편)|검은조직|X
793|애X4-10|세 명의 제1 목격자 (후편)|검은조직|X
794|15-06|보디가드 모리 코고로|일반|X
795|15-07|젊은 사모님이 사라진 비밀|일반|X
796|15-08|잉꼬부부의 책략|일반|X
797|15-09|꿈꾸는 소녀의 수수께끼 추리|일반|X
798|15-10|움직이는 표적|일반|X
799|15-11|탐정단의 밀실 추리 대결|일반|X
800|15-12|1억 엔을 쫓아라|일반|X
801|애X4-11|톳토리 사구 미스터리 투어 (쿠라요시편)|일반|X
802|애X4-12|톳토리 사구 미스터리 투어 (톳토리편)|일반|X
803|15-13|불조심의 함정|일반|X
804|애X4-13, 애X4-14|코난과 에비조 카부키 18번 미스터리 (전편)|스페셜|X
805|애X4-15, 애X4-16|코난과 에비조 카부키 18번 미스터리 (후편)|스페셜|X
806|15-14|복화술사의 착각 (전편)|일반|X
807|15-15|복화술사의 착각 (후편)|일반|X
808|15-16|낫족제비의 여관 (전편)|일반|X
809|15-17|낫족제비의 여관 (후편)|일반|X
810|애X4-17|현경의 검은 어둠 (전편)|검은조직|X
811|애X4-18|현경의 검은 어둠 (중편)|검은조직|X
812|애X4-19|현경의 검은 어둠 (후편)|검은조직|X
813|15-18|아무로에게 소리없이 다가오는 그림자|검은조직|X
814|15-19|블로그 여배우의 밀실사건 (전편)|일반|X
815|15-20|블로그 여배우의 밀실사건 (후편)|일반|X
816|15-21|딱하고 상냥한 우주인|일반|X
817|15-22|사라진 피앙세|일반|X
818|15-23|코고로 분노의 대추적 (전편)|일반|X
819|15-24|코고로 분노의 대추적 (후편)|일반|X
820|15-25|대합실의 7인|일반|X
821|15-26|돈가라지가 숨기는 비밀|일반|X
822|15-27|용의자는 열애 커플 (전편)|일반|X
823|15-28|용의자는 열애 커플 (후편)|일반|X
824|15-29|소년 탐정단의 비 피하기|일반|X
825|15-30|시오이리 공원 역전 사건|일반|X
826|16-01|미녀와 거짓말과 비밀|일반|X
827|16-02|죽을 만큼 맛있는 라멘 2 (전편)|아카이|X
828|16-03|죽을 만큼 맛있는 라멘 2 (후편)|아카이|X
829|16-04|불가사의한 소년|일반|X
830|16-05|좀비가 에워싸는 별장 (전편)|일반|X
831|16-06|좀비가 에워싸는 별장 (중편)|일반|X
832|16-07|좀비가 에워싸는 별장 (후편)|일반|X
833|16-08|명탐정에게 약점 있으니|일반|X
834|16-09|두 번 죽은 남자 (전편)|일반|X
835|16-10|두 번 죽은 남자 (후편)|일반|X
836|16-11|사이가 나쁜 걸즈밴드 (전편)|아카이|X
837|16-12|사이가 나쁜 걸즈밴드 (후편)|아카이|X
838|16-13|두둥실 기구에 괴사건|일반|X
839|16-14|텐구의 목소리가 들린다|일반|X
840|16-15|최후의 선물|일반|X
841|16-16|비 오는 버스 정류장|일반|X
842|16-17|드라이브 데이트의 갈림길|일반|X
843|16-18|탐정단은 덤불 속 (전편)|일반|X
844|16-19|탐정단은 덤불 속 (후편)|일반|X
845|16-20|절체절명 어둠 속의 코난 (전편)|일반|X
846|16-21|절체절명 어둠 속의 코난 (후편)|일반|X
847|16-22|치바의 UFO 난사건 (전편)|일반|X
848|16-23|치바의 UFO 난사건 (후편)|일반|X
849|16-24|혼인신고서의 패스워드 (전편)|아카이|X
850|16-25|혼인신고서의 패스워드 (후편)|검은조직|X
851|16-26|사랑의 지옥 순회 투어 (벳푸편)|일반|X
852|16-27|사랑의 지옥 순회 투어 (오이타편)|일반|X
853|16-28|벚꽃반의 추억 (란 GIRL)|아카이|X
854|16-29|벚꽃반의 추억 (신이치 BOY)|아카이|X
855|16-30|사라진 검은 띠의 수수께끼|일반|X
856|16-31|셀럽 부부의 비밀|일반|X
857|16-32|베이카마을 번복되는 미스터리 (전편)|일반|X
858|16-33|베이카마을 번복되는 미스터리 (후편)|일반|X
859|16-34|어둠의 산악 루트|일반|X
860|16-35|방범시스템의 함정|일반|X
861|16-36|17년 전과 같은 현장 (전편)|아카이|X
862|16-37|17년 전과 같은 현장 (후편)|아카이|X
863|16-38|영혼 탐정 살해 사건 (전편)|아카이|X
864|16-39|영혼 탐정 살해 사건 (후편)|아카이|X
865|17-01|입이 험한 구관조|일반|X
866|17-02|배신의 스테이지 (전편)|아카이|X
867|17-03|배신의 스테이지 (후편)|아카이|X
868|17-04|기적 소리가 들리는 고서점#s-2|일반|X
869|17-05|낭떠러지로 사라진 코난 (전편)|일반|X
870|17-06|낭떠러지로 사라진 코난 (후편)|일반|X
871|17-07|노부나가 450 사건|일반|X
872|17-08|코난과 헤이지의 누에 전설 (울음소리편)|일반|X
873|17-09|코난과 헤이지의 누에 전설 (손톱자국편)|일반|X
874|17-10|코난과 헤이지의 누에 전설 (해결편)|일반|X
875|17-11|불가사의한 예지 불상|일반|X
876|17-12|기계 장치의 목격자|일반|X
877|17-13|교차하는 운명의 두 사람|일반|X
878|17-14|탈의실의 사각 (전편)|아카이|X
879|17-15|탈의실의 사각 (후편)|아카이|X
880|17-16|탐정단과 유령저택|일반|X
881|17-17|잔물결의 마법사 (전편)|아카이|X
882|17-18|잔물결의 마법사 (후편)|아카이|X
883|17-19|그림책에서 튀어나온 폭탄마 (전편)|일반|X
884|17-20|그림책에서 튀어나온 폭탄마 (후편)|일반|X
885|17-21|수수께끼 풀이는 찻집 포와로에서 (전편)|일반|X
886|17-22|수수께끼 풀이는 찻집 포와로에서 (후편)|일반|X
887|17-23|괴도 키드와 기계 장치 상자 (전편)|아카이|X
888|17-24|괴도 키드와 기계 장치 상자 (후편)|아카이|X
889|17-25|신임 교사의 해골 사건 (전편)|검은조직|X
890|17-26|신임 교사의 해골 사건 (후편)|검은조직|X
891|-|막말 유신 미스터리 투어 (야마구치편)|일반|X
892|-|막말 유신 미스터리 투어 (하기편)|일반|X
893|17-27|별 달린 레스토랑의 비밀|일반|X
894|17-28|이웃집의 에도마에 추리쇼 (전편)|검은조직|X
895|17-29|이웃집의 에도마에 추리쇼 (후편)|검은조직|X
896|17-30|하얀 손의 여자 (전편)|검은조직|X
897|17-31|하얀 손의 여자 (후편)|검은조직|X
898|17-32|케이크가 녹았다!|일반|X
899|17-33|진범인의 비명소리|일반|X
900|17-34|밀실의 수수께끼 풀이쇼|일반|X
901|17-35|키사키 변호사 SOS (전편)|일반|X
902|17-36|키사키 변호사 SOS (후편)|일반|X
903|17-37|닮은 사람끼리 견원지간|일반|X
904|18-01|무승부의 결말|일반|X
905|18-02|7년 후의 목격 증언 (전편)|일반|X
906|18-03|7년 후의 목격 증언 (후편)|일반|X
907|18-04|J리그의 경호원|일반|X
908|18-05|강 바닥에 흘러간 우정|일반|X
909|18-06|불타는 텐트의 괴이함 (전편)|검은조직|X
910|18-07|불타는 텐트의 괴이함 (후편)|검은조직|X
911|18-08|메구레 경부로부터의 의뢰|일반|X
912|18-09|모델이 된 탐정단|일반|X
913|18-10|끌려간 코난 (전편)|일반|X
914|18-11|끌려간 코난 (후편)|일반|X
915|18-12|여고생 탐정 스즈키 소노코|일반|X
916|18-13|사랑과 추리의 검도 대회 (전편)|일반|X
917|18-14|사랑과 추리의 검도 대회 (후편)|일반|X
918|18-15|미니 패트롤카 폴리스 대추적|일반|X
919|18-16|여고생 트리오 비밀의 카페 (전편)|아카이|X
920|18-17|여고생 트리오 비밀의 카페 (후편)|아카이|X
921|18-18|살의의 합승|일반|X
922|18-21|사라진 소년 탐정단|일반|X
923|18-22|코난이 없는 날|일반|X
924|18-23|귤 밭에 해는 진다|일반|X
925|18-19|마음이 담긴 스트랩 (전편)|아카이|X
926|18-20|마음이 담긴 스트랩 (후편)|아카이|X
927|18-31, 18-32|진홍의 수학여행 (선홍편1)|스페셜|X
928|18-33, 18-34|진홍의 수학여행 (연홍편1)|스페셜|X
929|18-24|창가에 서 있는 여자 (전편)|일반|X
930|18-25|창가에 서 있는 여자 (후편)|일반|X
931|18-26|키타큐슈 미스터리 투어 (코쿠라 편)|일반|X
932|18-27|키타큐슈 미스터리 투어 (모지 편)|일반|X
933|18-28|서러브레드 유괴 사건 (전편)|일반|X
934|18-29|서러브레드 유괴 사건 (후편)|일반|X
935|18-30|점쟁이와 세 명의 손님|일반|X
936|19-01|푸드 코트의 음모|일반|X
937|19-02|거인 탈로스의 필살권 (전편)|일반|X
938|19-03|거인 탈로스의 필살권 (후편)|일반|X
939|19-04|위험한 화석 채집|일반|X
940|19-05|모습을 감춘 연인|일반|X
941|19-06|마리아를 찾아라! (전편)|아카이|X
942|19-07|마리아를 찾아라! (후편)|아카이|X
943|19-08|도쿄 할멈소녀 컬렉션|일반|X
944|19-09|좋아요.의 대가 (전편)|일반|X
945|19-10|좋아요.의 대가 (후편)|일반|X
946|19-11|저주의 보석 보르지아의 눈물 (전편)|일반|X
947|19-12|저주의 보석 보르지아의 눈물 (후편)|일반|X
948|19-13|공룡에 짓눌린 사내|일반|X
949|19-14|라디오 고민 상담 (도전편)|일반|X
950|19-15|라디오 고민 상담 (수수께끼 풀이편)|일반|X
951|19-16|기적 소리가 들리는 고서점 2|일반|X
952|19기 스페셜|미궁 칵테일 (전편)|검은조직|X
953|19기 스페셜|미궁 칵테일 (중편)|검은조직|X
954|19기 스페셜|미궁 칵테일 (후편)|아카이|X
955|19-17|곤충 인간의 비밀|일반|X
956|19-18|수수께끼 풀이 수상 버스 (전편)|일반|X
957|19-19|수수께끼 풀이 수상 버스 (후편)|일반|X
958|19-20|푸들과 산탄총 (전편)|일반|X
959|19-21|푸들과 산탄총 (후편)|일반|X
960|19-22|미망인과 탐정단|일반|X
